Name of the job,Description,Employer
Backend developer (Python),"Требуемый опыт работы: 1–3 годаПолная занятость, удаленная работаМы применяем механики знаменитой игры ""Тетрис"" в такой консервативной индустрии как - Логистика. Наши клиенты - крупные европейские транспортные компании.ClickLog - это небольшая, но действительно дружная команда. Среди наших клиентов крупные европейские логистические операторы, производители и даже аэропорт.Мы растем, наш продукт развивается, поэтому мы ищем тебя, если ты имеешь:  Коммерческий опыт программирования на Python от 2 лет. Знакомство Machine Learning будет плюсом. С# и знакомство с Unity будет большим плюсом. VCS (Git, Bitbucket, Mercurial). Amazon Web services и опыт автоматизации пайплайнов работы с данными (Docker, Amazon Code commit) будет плюсом.  Еще важно иметь:• Гибкость ума и готовность к экспериментам;• Строгое соблюдение дедлайнов и пунктуальность;• Самоорганизованность и самодисциплина;• Высокая скорость работы, при высоком качестве кода (такое бывает, мы точно знаем);Мы предложим:  На выбор: работа в офисе в районе Меги в Алматы или удаленка. Зарплата официальная, с четкой градацией и привязкой к этапам разработки. Крутые задачи, понятный пайплайн и адекватный темп работы. Option pool    Если это все про тебя - смело откликайся и пойдем знакомиться с тобой. Мы не требуем писать нудные сопроводительные письма, но пожалуйста, прочитайте внимательно описание вакансии. И, гоу к нам - мы создали Доступно соискателям с инвалидностью Ключевые навыкиMercurialМатематический анализМатематическое программированиеPython",ТОО Click Logistics
Junior Back-end/Go Developer,"Требуемый опыт работы: 1–3 годаПолная занятость, полный деньУникальная возможность быть в команде профессионалов и расти по четко выстроенной системе грейдовteam.auto: создаем решения для рынка Казахстана и ЕвропыИщем Junior Go разработчика в продвинутую IT команду AUTO.KZ Ожидаем от тебя ‍Опыт разработки от 6 месУверенное знание основ программированияЗнание одного и/или нескольких backend языков (Golang(приоритетный), C/C++, PHP, Python, C#, Java)Знание GitОпыт работы с SQLЖелание и способностью осваивать новейшие технологии Будет круто, если имеешь:Знания и опыт использования протокола GRPCОпыт работы с NoSql, брокерами очередейОпыт использования технологии CI/CDПонимание принципов DDD Группа компаний AUTO.KZРазработка новых продуктов, используя микросервисный подход (охват более 2 тыс b2b клиентов)Использование различных инструментов разработки: SQL/NoSQL базы данных, брокеры очередей, Docker, Git, TeamCity CI/CD.Работа с высоконагруженными системами и большим объемом данных (Более 100 тыс запросов в день на 400+ млн тг)Интеграция сторонних платформ (с 100+ международных информационных и платежных сервисов)   Вознаграждения и преимуществаУскоренная система грейдинга (каждые 3 мес.)Четкая система управления и постановки задачВозможность ротации между командамиСильная команда, enterprise опыт, современный, светлый офис.С заботой о каждом сотруднике: зал отдыха и обучения, снеки, абонементы в тренажерный зал и т.д. Так же приглашаем в команду:* Начинающих разработчиков с хорошим background/ом и потенциаломКлючевые навыкиGolangSQLАдресАлматы, улица Джандарбекова, 128Показать на большой карте",ТОО LEOPART CENTER
Backend Jun+ / Middle разработчик (Python/Node.js),"Требуемый опыт работы: 1–3 годаПолная занятость, полный деньОбязанности:  Участие в разработке веб-приложений разработка архитектуры баз данных; разрабатывать и развивать бэкенд платформ Компании и мобильных приложений (новые фичи, доработка текущих, работа над улучшением кодовой базы);  Требования:  знание ООП  опыт разработки микросервисов как большой плюс;   опыт работы с реляционными базами данных;   опыт работы с технологиями контейнеризации приложений: Docker/Kubernetes;  знание Rest API знание Nginx Python Flask / Node.js знание PostgreSql Будет плюсом знание МоngoDB, Apache Kafka/RabbitMQ, СI/CD, NestJS и понимание блокчейн  опыт работы с Jira, Confluence, Git, Jenkins, Sentry;   понимание и знание технологии блокчейн, ethereum, solidity как большое преимущество,   Условия:  Официальное трудоустройство  достойная заработная плата (обсуждается на собеседовании);   гибкий график и уютный, современный офис;   крутая, молодая команда;   интересные и живые международные проекты, нестандартные задачи, возможность влиять на продукт;   работа с самыми крутыми и современными технологиями;   реальные перспективы роста и возможности развивать свои навыки в компании работающей на мировой рынок, разрабатывая и внедряя свои идеи для нашего огромного сообщества пользователей;  Ключевые навыкиGitPythonPostgreSQLООПFlaskGolangAtlassian JiraDockerмикросервисыАдресАлматы, улица Бекхожина, 15АПоказать на большой карте",ТОО GLOBAL Innotion
Python developer,"Требуемый опыт работы: 1–3 годаПолная занятость, полный деньДорогие соискатели, у нас срочная вакансия в департаменте Финансов! Нужно будет заниматься разработкой для автоматизации работы финансового и бухгалтерского департаментов. Классно, если вам нравится находить решения, которые упрощают операционку и делают удобными ежедневные процессы.  Требования к знаниям и навыкам:  Уверенный опыт работы с Django, FastAPI, DRF, Django-ORM, Git, Swagger или PostmanCollection, Celery, Redis; Опыт работы со сторонними API; Хорошее понимание для чего нужен PEP8; Знание и применение паттернов проектирования. Будет плюсом знание: - Pandas и/или базовые знания написания юнит тестов; - Опыт разработки телеграм ботов на aiogram; - Опыт c Фронтендом на React/Vue.  Обязанности:  Работа с Rest API для интеграции с другими системами (внешние, внутренние); Плотная работа с данными в SQL через django-orm и последующее создание отчетов или аналитики; - Поддержка и рефакторинг текущего сервиса; Работа с финансовыми системами (понимание фин.отчетности); Разработка CRM с динамическими таблицами и графиками.  Об условиях и плюшках поговорим лично:)Ключевые навыкиPythonSQLGitDjango FrameworkФинансовая отчетность",Chocofamily
QA Manual инженер / стажер,"Требуемый опыт работы: не требуетсяСтажировка, полный деньО проекте: Проект Arlo представляет собой систему домашнего видеонаблюдения, эволюционирующую в полноценную систему Smart Home, стартовал шесть лет назад и находится на стадии активного развития. Менеджмент в Калифорнии. Веб-приложение предлагает широкий набор функций: добавление и настройка устройств, настройка режимов и автоматизированных механизмов их смены по расписанию, стриминг live video и просмотр записанных клипов с камер видеонаблюдения, Fullscreen, Push-To-Talk - трансляция звука с микрофона устройства на динамик камеры, SIP звонки в экстренную службу и прочее. Условия стажировки:  Стажировка длится 6-9 месяцев. При успешном прохождении, стажер переводится на должность junior. 3 месяца оплачиваются по ставке 40 долларов в месяц. Следующие 3 месяца – 200 долларов в месяц. С 7 по 9 месяц оплата 400 долларов. Есть критерии успешного прохождения стажировки. В случае быстрого обучения и высоких результатов в работе, срок стажировки может сократиться. Предоставляется техника для работы. Полный рабочий день. Можно совмещать с учебой, при условии возможности работать фулл-тайм (8 рабочих часов) и принимать участие во всех необходимых митингах.  Что получает стажер:  Есть полноценная программа развития от стажера до junior. При успешном прохождении стажировки, стажер уже имеет работу и знания по проекту и технологиям. Проводятся регулярные встречи с ментором и HR. Работа над реальными задачами и реальным коммерческим проектом. Поддержка, наставничество, обучение со стороны ментора. Практика англ.яз. Опыт в проекте, ориентированном на рынок США и Европы.  Этапы отбора:  Каждого кандидата на стажера мы просим выполнить тестовое задание. Срок выполнения – 1 неделя. Чтобы получить задание, оставьте отклик на вакансию. Звонок от HR после выполнения задания (15-20 минут). Онлайн техническое интервью с тим лидом (1 час). Каждому кандидату обязательно даем ответ.    JOB DESCRIPTION:   Daily Job Tasks  Sanity testing Regression testing Review user stories and create test cases for new features Jira bug and task validation Characterize bugs by analyzing device logs Report bugs/defects in Jira bug tracking system Triage customer reported issues Provide test status updates in team meetings  Description Responsibilities will include developing comprehensive tests to validate wireless camera embedded software/firmware. Actively participate in project/program meetings. Validate device firmware builds for customer readiness. Minimum Qualifications Currently enrolled in college courses or a bachelor’s degree in electrical engineering, computer engineering or similar technical field required. Preferred Qualifications Understanding of embedded Linux architecture Proven ability to ramp up quickly on new technologies. Highly motivated and organized, with the ability to accept ambiguity and deliver exceptional results on tight schedules. Collaborative skills with exceptional verbal and written communication. Demonstrated creative, critical thinking and troubleshooting skills. Scripting experience using Python is a plus.Ключевые навыкиАнглийский — B2 — Средне-продвинутыйАнглийский языкТайм-менеджментLinuxQA",ЧК ITS PARTNER LTD.
